vehicle_type,brand,model
coches,Abarth,500
coches,Abarth,500C
coches,Abarth,500e
coches,Abarth,595
coches,Abarth,595C
coches,Abarth,595 Turismo
coches,Abarth,595 Competizione
coches,Abarth,595 Esseesse
coches,Abarth,595 Scorpioneoro
coches,Abarth,595 Monster Energy Yamaha
coches,Abarth,600e
coches,Abarth,695
coches,Abarth,695C
coches,Abarth,695 Biposto
coches,Abarth,695 Tributo Ferrari
coches,Abarth,695 Rivale
coches,Abarth,695 XSR Yamaha
coches,Abarth,695 70° Anniversario
coches,Abarth,695 Edizione Maserati
coches,Abarth,124 Spider
coches,Abarth,Grande Punto
coches,Abarth,Punto Evo
coches,Acura,CL
coches,Acura,CSX
coches,Acura,EL
coches,Acura,ILX
coches,Acura,Integra
coches,Acura,MDX
coches,Acura,NSX
coches,Acura,RDX
coches,Acura,RL
coches,Acura,RLX
coches,Acura,RSX
coches,Acura,TL
coches,Acura,TLX
coches,Acura,TSX
coches,Acura,ZDX
coches,AITO,M5
coches,AITO,M5 EV
coches,AITO,M7
coches,AITO,M7 Pro
coches,AITO,M8
coches,AITO,M9
coches,Aiways,U5
coches,Aiways,U6
coches,Alfa Romeo,145
coches,Alfa Romeo,146
coches,Alfa Romeo,147
coches,Alfa Romeo,155
coches,Alfa Romeo,156
coches,Alfa Romeo,156 Sportwagon
coches,Alfa Romeo,157
coches,Alfa Romeo,159
coches,Alfa Romeo,159 Sportwagon
coches,Alfa Romeo,164
coches,Alfa Romeo,166
coches,Alfa Romeo,Brera
coches,Alfa Romeo,GTA
coches,Alfa Romeo,GTV
coches,Alfa Romeo,GT
coches,Alfa Romeo,Giulia
coches,Alfa Romeo,Giulietta
coches,Alfa Romeo,Junior
coches,Alfa Romeo,MiTo
coches,Alfa Romeo,Spider
coches,Alfa Romeo,Stelvio
coches,Alfa Romeo,Tonale
coches,Alfa Romeo,8C Competizione
coches,Alfa Romeo,4C
coches,Alfa Romeo,4C Spider
coches,Alpine,A110
coches,Alpine,A110 S
coches,Alpine,A110 R
coches,Alpine,A110 GT
coches,Alpine,A290
coches,Alpine,A390
coches,Audi,A1
coches,Audi,A1 Sportback
coches,Audi,A2
coches,Audi,A3
coches,Audi,A3 Sportback
coches,Audi,A3 Cabriolet
coches,Audi,A3 Sedan
coches,Audi,A4
coches,Audi,A4 Avant
coches,Audi,A4 Cabriolet
coches,Audi,A4 Allroad
coches,Audi,A5
coches,Audi,A5 Sportback
coches,Audi,A5 Cabriolet
coches,Audi,A5 Coupe
coches,Audi,A6
coches,Audi,A6 Avant
coches,Audi,A6 Allroad
coches,Audi,A6 e-tron
coches,Audi,A7
coches,Audi,A7 Sportback
coches,Audi,A8
coches,Audi,A8 L
coches,Audi,Q2
coches,Audi,Q3
coches,Audi,Q3 Sportback
coches,Audi,Q4 e-tron
coches,Audi,Q4 e-tron Sportback
coches,Audi,Q5
coches,Audi,Q5 Sportback
coches,Audi,Q6 e-tron
coches,Audi,Q7
coches,Audi,Q8
coches,Audi,Q8 e-tron
coches,Audi,Q8 e-tron Sportback
coches,Audi,R8
coches,Audi,R8 Spyder
coches,Audi,RS3
coches,Audi,RS3 Sportback
coches,Audi,RS4
coches,Audi,RS4 Avant
coches,Audi,RS5
coches,Audi,RS5 Sportback
coches,Audi,RS6
coches,Audi,RS6 Avant
coches,Audi,RS7
coches,Audi,RS7 Sportback
coches,Audi,RS Q3
coches,Audi,RS Q3 Sportback
coches,Audi,RS Q8
coches,Audi,RS e-tron GT
coches,Audi,S1
coches,Audi,S3
coches,Audi,S4
coches,Audi,S5
coches,Audi,S6
coches,Audi,S7
coches,Audi,S8
coches,Audi,SQ2
coches,Audi,SQ5
coches,Audi,SQ7
coches,Audi,SQ8
coches,Audi,TT
coches,Audi,TT Roadster
coches,Audi,TTS
coches,Audi,TTRS
coches,Audi,e-tron
coches,Audi,e-tron GT
coches,Audi,e-tron Sportback
coches,Avatr,11
coches,Avatr,12
coches,Avatr,06
coches,Bentley,Arnage
coches,Bentley,Azure
coches,Bentley,Bentayga
coches,Bentley,Bentayga EWB
coches,Bentley,Continental GT
coches,Bentley,Continental GTC
coches,Bentley,Continental Flying Spur
coches,Bentley,Continental Supersports
coches,Bentley,Brooklands
coches,Bentley,Mulsanne
coches,Bentley,Mulsanne Extended Wheelbase
coches,Bentley,Mulsanne Speed
coches,BMW,1 Series
coches,BMW,2 Series
coches,BMW,2 Series Active Tourer
coches,BMW,2 Series Gran Coupe
coches,BMW,2 Series Gran Tourer
coches,BMW,3 Series
coches,BMW,3 Series Touring
coches,BMW,3 Series Gran Turismo
coches,BMW,3 Series Compact
coches,BMW,4 Series
