vehicle_type,brand,model
motos,MITT,XRS 50
motos,MITT,XRS 125
motos,MITT,RT 50
motos,MITT,RT 125
motos,MITT,T-ROX 125
motos,MITT,MAX-T 125
motos,MITT,CITY VISION 125
motos,MITT,ADV 125
motos,MITT,ADV XTREME 125
motos,MITT,GTS 125
motos,MITT,GTS 330
motos,MITT,LEGRAND 125
motos,MITT,URBAN 125
motos,MITT,GT-MAX 125
motos,MITT,GT-MAX 330
motos,MITT,IBIZA 125
motos,MITT,SCRAMBLER 278 125
motos,MITT,LEGEND 125
motos,MITT,LEGEND 301
motos,MITT,808
motos,MITT,808 BIG FOOT
motos,MITT,808 TRAVELER
motos,MITT,NK 125
motos,MITT,NK 125 BREMBO LTD
motos,MITT,GP1 125
motos,MITT,GP2 125
motos,MITT,GP 125
motos,MITT,GP 125 Limited
motos,MITT,GP 125 Racing
motos,MITT,775R
motos,MITT,GT-K 730
motos,MITT,MT 125
motos,MITT,Desert 125
motos,MITT,TT 530
motos,MITT,TT 555
motos,MITT,TT 555 Gold Edition
motos,MITT,50 RT
motos,MITT,50 XRS
motos,MITT,125 Alpha
motos,MITT,125 DS Scrambler
motos,MITT,125 MB
motos,MITT,125 MB Twin Custom
motos,MITT,125 PK
motos,MITT,125 PK Max
motos,MITT,125 RT Super
motos,MITT,125 TK
motos,MITT,125 Urban
motos,MITT,301 Legend
motos,MITT,440 GP-R
motos,MITT,440 MB Custom
