vehicle_type,brand,model
motos,Beta,Alp 4.0 200
motos,Beta,Alp 4.0 350
motos,Beta,EVO 80
motos,Beta,EVO 125
motos,Beta,EVO 200
motos,Beta,EVO 250
motos,Beta,EVO 300
motos,Beta,M4 350
motos,Beta,M4 400
motos,Beta,M4 450
motos,Beta,MR 125
motos,Beta,MR 300
motos,Beta,MX 125
motos,Beta,REV3 125
motos,Beta,REV3 200
motos,Beta,REV3 250
motos,Beta,REV3 270
motos,Beta,RR 2T 125
motos,Beta,RR 2T 200
motos,Beta,RR 2T 250
motos,Beta,RR 2T 300
motos,Beta,RR 4T 350
motos,Beta,RR 4T 390
motos,Beta,RR 4T 430
motos,Beta,RR 4T 450
motos,Beta,RR 4T 480
motos,Beta,RR-S / RS 300
motos,Beta,RR-S / RS 350
motos,Beta,RR-S / RS 390
motos,Beta,RR-S / RS 430
motos,Beta,RR-S / RS 450
motos,Beta,RR-S / RS 480
motos,Beta,RX 125
motos,Beta,RX 300
motos,Beta,RX 350
motos,Beta,RX 450
motos,Beta,Techno 125
motos,Beta,Techno 200
motos,Beta,Techno 250
motos,Beta,Techno 280
motos,Beta,Zero 4.0
motos,BMW,C 400 GT
motos,BMW,C 400 X
motos,BMW,C 600 Sport
motos,BMW,C 650 GT
motos,BMW,C 650 Sport
motos,BMW,C Evolution
motos,BMW,CE 02
motos,BMW,CE 04
motos,BMW,F 650 Funduro
motos,BMW,F 650 GS
motos,BMW,F 650 GS Dakar
motos,BMW,F 700 GS
motos,BMW,F 750 GS
motos,BMW,F 800 GS
motos,BMW,F 800 GS Adventure
motos,BMW,F 800 GT
motos,BMW,F 800 R
motos,BMW,F 800 S
motos,BMW,F 800 ST
motos,BMW,F 850 GS
motos,BMW,F 850 GS Adventure
motos,BMW,F 900 R
motos,BMW,F 900 XR
motos,BMW,G 310 GS
motos,BMW,G 310 R
motos,BMW,G 450 X
motos,BMW,G 650 GS
motos,BMW,G 650 Moto Serrow
motos,BMW,G 650 Xcountry
motos,BMW,G 650 Xchallenge
motos,BMW,HP2 Enduro
motos,BMW,HP2 Megamoto
motos,BMW,HP2 Sport
motos,BMW,HP4
motos,BMW,K 1200 GT
motos,BMW,K 1200 LT
motos,BMW,K 1200 R
motos,BMW,K 1200 R Sport
motos,BMW,K 1200 S
motos,BMW,K 1300 GT
motos,BMW,K 1300 R
motos,BMW,K 1300 S
motos,BMW,K 1600 B
motos,BMW,K 1600 GT
motos,BMW,K 1600 GTL
motos,BMW,K 1600 Grand America
motos,BMW,M 1000 R
motos,BMW,M 1000 RR
motos,BMW,M 1000 XR
motos,BMW,R 1100 GS
motos,BMW,R 1100 R
motos,BMW,R 1100 RS
motos,BMW,R 1100 RT
motos,BMW,R 1100 S
motos,BMW,R 1150 GS
motos,BMW,R 1150 GS Adventure
motos,BMW,R 1150 R
motos,BMW,R 1150 R Rockster
motos,BMW,R 1150 RS
motos,BMW,R 1150 RT
motos,BMW,R 1200 C
motos,BMW,R 1200 CL
motos,BMW,R 1200 GS
motos,BMW,R 1200 GS Adventure
motos,BMW,R 1200 R
motos,BMW,R 1200 RS
motos,BMW,R 1200 RT
motos,BMW,R 1200 S
motos,BMW,R 1200 ST
motos,BMW,R 1250 GS
motos,BMW,R 1250 GS Adventure
motos,BMW,R 1250 R
motos,BMW,R 1250 RS
motos,BMW,R 1250 RT
motos,BMW,R 850 C
motos,BMW,R 850 R
motos,BMW,R 900 RT
motos,BMW,R Nine T
motos,BMW,R Nine T Pure
motos,BMW,R Nine T Racer
motos,BMW,R Nine T Scrambler
motos,BMW,R Nine T Urban G/S
motos,BMW,S 1000 R
motos,BMW,S 1000 RR
motos,BMW,S 1000 XR
motos,BMW,XR 1200
motos,Can-Am,Canyon 600
motos,Can-Am,Origin
motos,Can-Am,Pulse
motos,Can-Am,Ryker 600
motos,Can-Am,Ryker 900
motos,Can-Am,Ryker Rally 900
motos,Can-Am,Spyder F3
motos,Can-Am,Spyder F3-S
motos,Can-Am,Spyder F3-T
motos,Can-Am,Spyder F3 Limited
motos,Can-Am,Spyder RS
motos,Can-Am,Spyder RS-S
motos,Can-Am,Spyder RT
motos,Can-Am,Spyder RT-S
motos,Can-Am,Spyder RT Limited
motos,Can-Am,Spyder ST
motos,Can-Am,Spyder ST-S
motos,CF Moto,150NK
motos,CF Moto,250CL-C
motos,CF Moto,250NK
motos,CF Moto,300NK
motos,CF Moto,300SS
motos,CF Moto,400NK
motos,CF Moto,450CL-C
motos,CF Moto,450CL-C Bobber
motos,CF Moto,450CL-C AMT
motos,CF Moto,450NK
motos,CF Moto,450SS
motos,CF Moto,650GT
motos,CF Moto,650MT
motos,CF Moto,650NK
motos,CF Moto,650TK
