vehicle_type,brand,model
motos,Askoll,Dixy
motos,Askoll,Dixy Plus
motos,Askoll,eS1
motos,Askoll,eS1 Evolution
motos,Askoll,eS2
motos,Askoll,eS2 Evolution
motos,Askoll,eS3
motos,Askoll,eS3 Evolution
motos,Askoll,eSpro 45
motos,Askoll,eSpro 70
motos,Askoll,NGS1
motos,Askoll,NGS2
motos,Askoll,NGS3
motos,Gas Gas,TXT Racing 80
motos,Gas Gas,TXT Racing 125
motos,Gas Gas,TXT Racing 200
motos,Gas Gas,TXT Racing 250
motos,Gas Gas,TXT Racing 280
motos,Gas Gas,TXT Racing 300
motos,Gas Gas,TXT GP 125
motos,Gas Gas,TXT GP 200
motos,Gas Gas,TXT GP 250
motos,Gas Gas,TXT GP 280
motos,Gas Gas,TXT GP 300
motos,Gas Gas,TXT Raga Racing 250
motos,Gas Gas,TXT Raga Racing 300
motos,Gas Gas,EC 125
motos,Gas Gas,EC 200
motos,Gas Gas,EC 250
motos,Gas Gas,EC 300
motos,Gas Gas,EC 300 Racing
motos,Gas Gas,EC 300 Six Days
motos,Gas Gas,EC 250F
motos,Gas Gas,EC 350F
motos,Gas Gas,EC 450F
motos,Gas Gas,EC 500F
motos,Gas Gas,XC 200
motos,Gas Gas,XC 250
motos,Gas Gas,XC 300
motos,Gas Gas,MC 65
motos,Gas Gas,MC 85
motos,Gas Gas,MC 125
motos,Gas Gas,MC 150
motos,Gas Gas,MC 250
motos,Gas Gas,MC 300
motos,Gas Gas,MC 250F
motos,Gas Gas,MC 350F
motos,Gas Gas,MC 450F
motos,Gas Gas,EX 250F
motos,Gas Gas,EX 350F
motos,Gas Gas,EX 450F
motos,Gas Gas,ES 700
motos,Gas Gas,SM 700
motos,Gas Gas,MC-E 5
motos,QJ Motor,CTR 125
motos,QJ Motor,LTR 125
motos,QJ Motor,LTR 150
motos,QJ Motor,NTX 300
motos,QJ Motor,SRC 250
motos,QJ Motor,SRC 500
motos,QJ Motor,SRF 135
motos,QJ Motor,SRK 125
motos,QJ Motor,SRK 250 RS
motos,QJ Motor,SRK 400
motos,QJ Motor,SRK 400 RR
motos,QJ Motor,SRK 500 S
motos,QJ Motor,SRK 500 RC
motos,QJ Motor,SRK 600
motos,QJ Motor,SRK 600 A
motos,QJ Motor,SRK 600 RR
motos,QJ Motor,SRK 600 RS
motos,QJ Motor,SRK 700
motos,QJ Motor,SRK 700 C
motos,QJ Motor,SRK 800 RR
motos,QJ Motor,SRK 921 RR
motos,QJ Motor,SRT 135
motos,QJ Motor,SRT 300
motos,QJ Motor,SRT 450 RX
motos,QJ Motor,SRT 550
motos,QJ Motor,SRT 550 X
motos,QJ Motor,SRT 600 SX
motos,QJ Motor,SRT 700
motos,QJ Motor,SRT 700 S
motos,QJ Motor,SRT 700 X
motos,QJ Motor,SRT 700 SX
motos,QJ Motor,SRT 800
motos,QJ Motor,SRT 800 X
motos,QJ Motor,SRV 300
motos,QJ Motor,SRV 500
motos,QJ Motor,SRV 550
motos,QJ Motor,SRV 600 V2
motos,QJ Motor,SRV 600 V4
motos,QJ Motor,VPS 50
motos,QJ Motor,VPS 125
motos,Zontes,E-Mantis 125
motos,Zontes,GK 350
motos,Zontes,Mantis 125
motos,Zontes,Monster 125
motos,Zontes,Panther 125
motos,Zontes,RA1 350
motos,Zontes,Storm 125
motos,Zontes,Tiger 125
motos,Zontes,ZT125-G1
motos,Zontes,ZT125-M
motos,Zontes,ZT125-U
motos,Zontes,ZT125-U1
motos,Zontes,ZT200-7A Phantom
motos,Zontes,ZT250-S
motos,Zontes,ZT310-M
motos,Zontes,ZT310-R
motos,Zontes,ZT310-T
motos,Zontes,ZT310-V
motos,Zontes,ZT310-X
motos,Zontes,ZT350-GK
motos,Zontes,ZT350-T
motos,Zontes,ZT368-G
motos,Zontes,ZT703-F Adventure
motos,Zontes,ZT703-RR
motos,Daelim,A-Four 50
motos,Daelim,Advance 125
motos,Daelim,Aroma 125
motos,Daelim,B-Bone 125
motos,Daelim,Besbi 125
motos,Daelim,Beagle 50
motos,Daelim,Bonita 50
motos,Daelim,Citi Ace 110
motos,Daelim,Cordi 50
motos,Daelim,Dart 125
motos,Daelim,Daystar 125
motos,Daelim,Daystar 250
motos,Daelim,Delfino 125
motos,Daelim,E-Five 50
motos,Daelim,NS 125 Trans Up
motos,Daelim,Otello 125 ABS
motos,Daelim,Roadwin 125
motos,Daelim,Roadwin R 125
motos,Daelim,Roadsport 125
motos,Daelim,Roadsport 250
motos,Daelim,S-Five 50
motos,Daelim,S1 125
motos,Daelim,S2 125
motos,Daelim,S2 250
motos,Daelim,S3 125
motos,Daelim,S3 250
motos,Daelim,Steezer 125
motos,Daelim,VT 125
motos,Daelim,XQ1 125
motos,NIU,BQi-C3 Pro
motos,NIU,BQi-C3 Sport
motos,NIU,Gova A0
motos,NIU,Gova C0
motos,NIU,Gova F0
motos,NIU,MQi
motos,NIU,MQi GT
motos,NIU,MQi GT Evo
motos,NIU,MQi+ Lite
motos,NIU,MQi+ Sport
motos,NIU,NQi
motos,NIU,NQi GTS
motos,NIU,NQi GTS ER
motos,NIU,NQi GTS Pro
motos,NIU,NQi GTS Sport
motos,NIU,NQi Lite
motos,NIU,NQi Pro
motos,NIU,NQi Sport
motos,NIU,NQi Super
motos,NIU,NQi TGT
motos,NIU,RQi Sport
motos,NIU,RQi GT
motos,NIU,TQi Pro
motos,NIU,UQi
motos,NIU,UQi GT
motos,NIU,UQi GT Pro
motos,NIU,UQi Pro
motos,NIU,UQi Sport
motos,NIU,XQi3
motos,NIU,YQi
motos,Ray,RAY 7.7
motos,Silence,S01
motos,Silence,S01 Connected
motos,Silence,S01 Power
motos,Silence,S01 Sport
motos,Silence,S02
motos,Silence,S02 Urban
motos,Silence,S02 Vision
motos,Silence,S03
motos,Silence,S04
motos,Voge,125 R
motos,Voge,300 AC
motos,Voge,300 ACX
motos,Voge,300 R
motos,Voge,300 Rally
motos,Voge,300 RR
